"Country Name","GNI per capita(usd)","Unemployment, total (% of total labor force)","Current health expenditure (% of GDP)","Urban population (% of total population)","School enrollment, secondary (% gross)","Life expectancy at birth, total (years)"
"Botswana","6900","23.106","6.30929565","71.56","70.01838684082","61.141"
"Canada","48780","7.527","12.3341074","81.653","109.33431243897","81.587073170732"
"Central Europe and the Baltics","17650.214302969","4.4865928128067","7.4420924138162","62.689996470192","101.30696105957","74.797401096225"
"Switzerland","90810","5.097","11.80107975","73.996","103.6051864624","83.751219512195"
"Chile","14760","9.325","9.34327984","87.817","106.67352294922","78.944"
"China","11950","4.55","5.38360548","62.512","89.0414364","78.211"
"Cote d'Ivoire","2490","2.59","3.13269377","52.18","57.281509399414","58.598"
"Cameroon","1590","3.951","3.82407379","58.148","45.02811050415","60.333"
"Congo, Dem. Rep.","560","5.273","3.7859261","46.235","56.8860206604","59.193"
"Colombia","6220","13.898","9.01772404","81.74","102.9879989624","72.83"
"Cabo Verde","3400","13.906","6.90378904","67.102","86.491302490234","74.052"
"Costa Rica","12380","15.139","7.56881428","81.425","141.20271301269","77.023"
"Caribbean small states","11355.215585115","12.395407396109","6.3002256315163","46.658055065352","84.400283813477","70.481791093805"
"Cuba","14557.2","1.373","13.78727818","77.292","99.635223388672","73.683"
"Cyprus","29490","7.513","9.43","66.856","102.49949645996","81.203"
